"667d830","tannerb","Tue, 7 Feb 2017 11:45:52 -0700","moved programming assignment 1 to parent folder",	 98 files changed, 1063701 deletions(-)	
"fa1cad5","tannerb","Fri, 3 Feb 2017 23:04:27 -0700","final commit for programming assignment 1",	 15 files changed, 421560 insertions(+), 2 deletions(-)	
"ddd090e","tannerb","Fri, 3 Feb 2017 15:01:25 -0700","add postag tag to pos tags",	 10 files changed, 95413 insertions(+), 95399 deletions(-)	
"99518b8","tannerb","Fri, 3 Feb 2017 06:48:02 -0700","added debug flag",	 3 files changed, 23 insertions(+), 17 deletions(-)	
"f9d0d29","tannerb","Fri, 3 Feb 2017 06:39:35 -0700","fixed debug message",	 24 files changed, 542926 insertions(+), 25859 deletions(-)	
"bd113b4","tannerb","Fri, 3 Feb 2017 06:27:26 -0700","fixed bothcon file format, now not adding duplicates to features",	 9 files changed, 69647 insertions(+), 11937 deletions(-)	
"f82a724","tannerb","Fri, 3 Feb 2017 06:11:26 -0700","everything but poscon and lexcon working, but I have a weird debug statement",	 1 file changed, 6 insertions(+), 1 deletion(-)	
"f1e4b19","tannerb","Thu, 2 Feb 2017 14:56:01 -0700","rewrote entire thing... still bad numbers and bothcon not working at all",	 33 files changed, 464819 insertions(+), 511490 deletions(-)	
"e6af557","tannerb","Thu, 2 Feb 2017 11:53:02 -0700","committing before revert",	 17 files changed, 132830 insertions(+), 154078 deletions(-)	
"2e24eaf","tannerb","Thu, 2 Feb 2017 09:30:52 -0700","getting higher scores than I should",	 3 files changed, 9 insertions(+), 11 deletions(-)	
"25b981e","tannerb","Wed, 1 Feb 2017 18:51:31 -0700","got accuracy standards and more",	 25 files changed, 532384 insertions(+), 41 deletions(-)	
"ce86985","tannerb","Wed, 1 Feb 2017 16:06:10 -0700","print results",	 2 files changed, 90 insertions(+), 53 deletions(-)	
"f0912d4","tannerb","Tue, 31 Jan 2017 17:52:29 -0700","consolidate line vector stuff",	 1 file changed, 88 insertions(+), 61 deletions(-)	
"3cf16a5","tannerb","Tue, 31 Jan 2017 14:07:12 -0700","getting bothcon vector",	 1 file changed, 8 insertions(+), 1 deletion(-)	
"346bb6c","tannerb","Tue, 31 Jan 2017 12:34:58 -0700","bothcon kind of working except still need to addd word",	 1 file changed, 114 insertions(+), 10 deletions(-)	
"ef29248","tannerb","Tue, 31 Jan 2017 09:51:09 -0700","beginning to label feature ids",	 3 files changed, 79 insertions(+), 30 deletions(-)	
"519d0da","tannerb","Mon, 30 Jan 2017 10:35:54 -0700","split on instances",	 7 files changed, 35 insertions(+), 23 deletions(-)	
"60dec5b","tbarlow12","Fri, 27 Jan 2017 17:11:35 -0700","make sets rather than dictionaries",	 1 file changed, 42 insertions(+), 15 deletions(-)	
"cc2cc64","tbarlow12","Fri, 27 Jan 2017 15:32:43 -0700","Start named entity recognition",	 50 files changed, 98804 insertions(+), 32 deletions(-)	
"7f74f26","tbarlow12","Thu, 26 Jan 2017 15:10:02 -0700","Grouping multiple articles and normalizing title",	 1 file changed, 15 insertions(+), 6 deletions(-)	
"83f7854","tbarlow12","Thu, 26 Jan 2017 14:55:04 -0700","Got the right encoding!!",	 1 file changed, 6 insertions(+), 11 deletions(-)	
"cd54cd5","tbarlow12","Thu, 26 Jan 2017 14:40:28 -0700","Creating a corpus",	 9 files changed, 1366 insertions(+), 250 deletions(-)	
"3483bfe","tbarlow12","Thu, 26 Jan 2017 07:59:00 -0700","Basic matching",	 2 files changed, 23 insertions(+), 10 deletions(-)	
"eb8fa31","Tanner Barlow","Fri, 20 Jan 2017 11:23:20 -0700","set up basic testing",	 3 files changed, 173 insertions(+), 117 deletions(-)	
"9393867","tbarlow12","Thu, 19 Jan 2017 12:59:18 -0700","Add data set and basic testing functionality",	 630 files changed, 232002 insertions(+), 31 deletions(-)	
"1fe60bd","tbarlow12","Fri, 13 Jan 2017 15:20:59 -0700","answering summary and age questions",	 2 files changed, 73 insertions(+), 32 deletions(-)	
"5f17681","tbarlow12","Fri, 13 Jan 2017 10:08:49 -0700","created list of questions",	 2 files changed, 81 insertions(+), 18 deletions(-)	
"b288085","tbarlow12","Fri, 13 Jan 2017 09:27:35 -0700","basic changes",	 2 files changed, 34 insertions(+), 11 deletions(-)	
"f2c55d5","Tanner Barlow","Thu, 12 Jan 2017 18:52:10 -0700","got crazy regex",	 1 file changed, 2 insertions(+), 5 deletions(-)	
"c918294","Tanner Barlow","Thu, 12 Jan 2017 18:48:45 -0700","got crazy regex",	 2 files changed, 41 insertions(+), 3 deletions(-)	
"48d3015","Tanner Barlow","Thu, 12 Jan 2017 14:59:00 -0700","getting wikipedia content",	 2 files changed, 6 insertions(+), 7 deletions(-)	
"a5f7ca5","tbarlow12","Wed, 11 Jan 2017 19:11:29 -0700","Initial commit",	 1 file changed, 7 insertions(+)	
"950869d","tbarlow12","Wed, 11 Jan 2017 18:39:19 -0700",":space_invader: Added .gitattributes & .gitignore files",	 2 files changed, 64 insertions(+)	
